input_text,label
"[GAME_STATE] time: 10:18, radiant_gold_advantage: [AHEAD], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY] [CLINKZ](1) | [RUBICK](1) <SEP> [MSG] [MEDUSA] wtf is happening [DIRE] <SEP> [PREVIOUS] ",0
"[GAME_STATE] time: 36:47, radiant_gold_advantage: [AHEAD], radiant_xp_advantage: [DOMINATING] <SEP> [KILLED] [CRYSTAL_MAIDEN](1) | [NECROPHOS](1) | [MEDUSA](1) <SEP> [KILLED_BY] [CRYSTAL_MAIDEN](3) | [DISRUPTOR](1) | [NECROPHOS](3) <SEP> [MSG] [SILENCER] wow [RADIANT] <SEP> [PREVIOUS] [MEDUSA] [DIRE]: wtf is happening",0
"[GAME_STATE] time: 44:24, radiant_gold_advantage: [SLIGHTLY_AHEAD], radiant_xp_advantage: [DOMINATING] <SEP> [KILLED] [NECROPHOS](2) | [SAND_KING](3) | [DISRUPTOR](3) | [MEDUSA](1) | [CRYSTAL_MAIDEN](1) <SEP> [KILLED_BY] [CRYSTAL_MAIDEN](1) | [MEDUSA](1) | [NECROPHOS](4) <SEP> [MSG] [DRAGON_KNIGHT] xd [RADIANT] <SEP> [PREVIOUS] [MEDUSA] [DIRE]: wtf is happening | [SILENCER] [RADIANT]: wow",0
"[GAME_STATE] time: 44:37, radiant_gold_advantage: [SLIGHTLY_AHEAD], radiant_xp_advantage: [DOMINATING] <SEP> [KILLED] [NECROPHOS](2) | [SAND_KING](3) | [DISRUPTOR](3) | [MEDUSA](1) | [CRYSTAL_MAIDEN](1) <SEP> [KILLED_BY] [CRYSTAL_MAIDEN](1) | [MEDUSA](1) | [NECROPHOS](4) <SEP> [MSG] [DRAGON_KNIGHT] good game [RADIANT] <SEP> [PREVIOUS] [MEDUSA] [DIRE]: wtf is happening | [SILENCER] [RADIANT]: wow | [DRAGON_KNIGHT] [RADIANT]: xd",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [DISRUPTOR] we wait [RADIANT] <SEP> [PREVIOUS] ",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [LIFESTEALER] thx [DIRE] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [DISRUPTOR] we have patience from zhou [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [LIFESTEALER] we wont forget that [DIRE] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [DARK_WILLOW] so how you guys doing? [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [LIFESTEALER] not good [DIRE] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing?",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [LIFESTEALER] we were fucked at bc [DIRE] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [DISRUPTOR] us too [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [MORPHLING] WE GOT [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc | [DISRUPTOR] [RADIANT]: us too",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [LIFESTEALER] i took 20 mins for us [DIRE] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc | [DISRUPTOR] [RADIANT]: us too | [MORPHLING] [RADIANT]: WE GOT",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [MORPHLING] top 1000 [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc | [DISRUPTOR] [RADIANT]: us too | [MORPHLING] [RADIANT]: WE GOT | [LIFESTEALER] [DIRE]: i took 20 mins for us",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [DISRUPTOR] faced 300 ranked guys [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc | [DISRUPTOR] [RADIANT]: us too | [MORPHLING] [RADIANT]: WE GOT | [LIFESTEALER] [DIRE]: i took 20 mins for us | [MORPHLING] [RADIANT]: top 1000",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [LIFESTEALER] ) [DIRE] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc | [DISRUPTOR] [RADIANT]: us too | [MORPHLING] [RADIANT]: WE GOT | [LIFESTEALER] [DIRE]: i took 20 mins for us | [MORPHLING] [RADIANT]: top 1000 | [DISRUPTOR] [RADIANT]: faced 300 ranked guys",0
"[GAME_STATE] time: 3:03, radiant_gold_advantage: [EVEN], radiant_xp_advantage: [EVEN] <SEP> [KILLED]  <SEP> [KILLED_BY]  <SEP> [MSG] [DARK_WILLOW] we met a team with twice the mmr [RADIANT] <SEP> [PREVIOUS] [DISRUPTOR] [RADIANT]: we wait | [LIFESTEALER] [DIRE]: thx | [DISRUPTOR] [RADIANT]: we have patience from zhou | [LIFESTEALER] [DIRE]: we wont forget that | [DARK_WILLOW] [RADIANT]: so how you guys doing? | [LIFESTEALER] [DIRE]: not good | [LIFESTEALER] [DIRE]: we were fucked at bc | [DISRUPTOR] [RADIANT]: us too | [MORPHLING] [RADIANT]: WE GOT | [LIFESTEALER] [DIRE]: i took 20 mins for us | [MORPHLING] [RADIANT]: top 1000 | [DISRUPTOR] [RADIANT]: faced 300 ranked guys | [LIFESTEALER] [DIRE]: )",0
